ind;press;temp
785;34.78435593;23.768
786;34.81935593;23.765
787;34.91735593;23.761
788;35.04235593;23.757
789;35.13035593;23.755
790;35.21035593;23.752
791;35.22835593;23.754
792;35.21035593;23.754
793;35.16635593;23.753
794;35.16635593;23.754
795;35.21035593;23.752
796;35.29935593;23.75
797;35.37035593;23.748
798;35.42435593;23.744
799;35.45935593;23.743
800;35.47735593;23.743
801;35.46835593;23.743
802;35.45935593;23.741
803;35.43335593;23.743
804;35.48635593;23.741
805;35.58435593;23.739
806;35.65535593;23.732
807;35.71735593;23.726
808;35.79735593;23.724
809;35.82335593;23.722
810;35.83235593;23.722
811;35.85035593;23.722
812;35.86835593;23.721
813;35.93935593;23.716
814;36.04635593;23.712
815;36.09935593;23.706
816;36.12635593;23.704
817;36.15235593;23.701
818;36.17935593;23.699
819;36.17935593;23.696
820;36.16135593;23.697
821;36.18835593;23.698
822;36.25035593;23.692
823;36.33035593;23.686
824;36.39235593;23.676
825;36.44535593;23.67
826;36.45435593;23.667
827;36.47235593;23.666
828;36.49035593;23.667
829;36.50835593;23.668
830;36.51735593;23.666
831;36.59635593;23.658
832;36.69435593;23.647
833;36.75635593;23.637
834;36.77435593;23.635
835;36.80135593;23.634
836;36.75635593;23.634
837;36.74835593;23.633
838;36.73935593;23.631
839;36.83635593;23.633
840;36.90735593;23.628
841;36.98735593;23.62
842;37.05935593;23.617
843;37.12135593;23.616
844;37.16535593;23.617
845;37.14735593;23.616
846;37.14735593;23.614
847;37.14735593;23.614
848;37.17435593;23.611
849;37.24535593;23.61
850;37.28135593;23.607
851;37.30735593;23.608
852;37.31635593;23.608
853;37.35235593;23.607
854;37.40535593;23.604
855;37.44135593;23.602
856;37.53835593;23.601
857;37.62735593;23.599
858;37.68935593;23.595
859;37.66335593;23.595
860;37.68135593;23.597
861;37.68935593;23.594
862;37.68935593;23.594
863;37.76135593;23.592
864;37.85835593;23.589
865;37.92935593;23.585
866;37.97435593;23.58
867;37.93835593;23.581
868;37.96535593;23.581
869;38.00035593;23.579
870;38.08035593;23.576
871;38.15235593;23.573
872;38.24935593;23.569
873;38.34735593;23.565
874;38.35635593;23.56
875;38.31135593;23.56
